"State","Drunk_Driving","Seatbelt","Pneumonia_Vaccine","Flu_Shot","Maximum_Alcohol","Average_Alcohol","Smoker","BMI","Diabetes","Kidney_Disease","COPD","Asthma","Stroke","Heart_Disease","Heart_Attack","Excercise","Medical_Cost","Poor_Health","Mental_Health","Physical_Health","General_Health","Margin","Gov_Male","Gov_Rep"
"AK",0.16056338028169,1.3437037037037,0.423167848699764,0.411979547114682,5.48985507246377,3.3135838150289,0.486191860465116,28.0511413114642,0.170258620689655,0.0373563218390805,0.0930064888248017,0.134823359769286,0.0388489208633093,0.056562726613488,0.0619150467962563,0.767408470926059,0.117350611951044,7.02691218130312,4.86288585786073,6.62455132806892,2.56155507559395,0.167713094221361,TRUE,TRUE
"AL",0.0257289879931389,1.13651877133106,0.584677419354839,0.520701412566975,5.27017543859649,4.10544815465729,0.422665369649805,28.6513084209755,0.264844486333647,0.0720037896731407,0.125295508274232,0.130496453900709,0.0822306238185255,0.112488083889418,0.0975378787878788,0.631008482563619,0.0807365439093484,9.21600688468158,5.04232049453162,7.71969333972209,2.91450165328295,0.287482871879215,FALSE,TRUE
"AR",0.0335249042145594,1.21687126219704,0.58215206185567,0.434181589695256,4.2060546875,3.08390243902439,0.449923430321593,28.3212536122831,0.235695226801067,0.0514268727705113,0.131044776119403,0.126484560570071,0.0782039845376152,0.123007518796992,0.105749180816205,0.618057618057618,0.0733590733590734,8.69528351881293,4.51992861392029,8.65823161655254,2.98692033293698,0.285702753795409,TRUE,TRUE
"AZ",0.110687022900763,1.1845395983327,0.602518693427784,0.428138035646568,3.97501951600312,2.6104199066874,0.460030165912519,27.3756298534954,0.171502019831069,0.0614422369389257,0.112909157778595,0.154805575935437,0.0588019110621095,0.0881481481481481,0.0858511422254974,0.747708104143748,0.0611273792093704,6.93700217233889,3.31648351648352,6.46029411764706,2.63823529411765,0.0378004680207891,TRUE,TRUE
"CA",0.0630455868089234,1.0727367870225,0.539544962080173,0.464193714580113,3.16069699903195,2.09971236816874,0.422278481012658,27.2618684213063,0.214180929095355,0.0549558390578999,0.102060843964671,0.158255756981872,0.0544384502206964,0.0644367929168716,0.0634218289085546,0.783585735222276,0.0748166259168704,6.63148479427549,3.88050930460333,6.05286343612335,2.64449877750611,-0.322564215916382,TRUE,FALSE
"CO",0.027603513174404,1.16871387283237,0.606784888203547,0.529157667386609,3.28525641025641,2.29026098026735,0.434063959755659,26.784431321593,0.143186306780777,0.0426587301587302,0.0770247933884298,0.120951751487112,0.0425742574257426,0.0613598673300166,0.0644628099173554,0.800131926121372,0.0488287693830419,5.90138980807412,3.44344941956882,5.51998667554963,2.47276328821393,-0.0536666674536487,TRUE,FALSE
"CT",0.0570479927558104,1.1197729422895,0.516472677056619,0.483858787993204,3.68165024630542,2.5132986854173,0.448662801570974,27.442630048327,0.148955495004541,0.0342129208371247,0.0789857716161985,0.129026387625114,0.0418257865066376,0.0654957921697768,0.0557783448778709,0.783003450154349,0.0435650753312761,5.52230769230769,3.22149242838898,4.95176556243174,2.39901836029813,-0.142830950345273,TRUE,FALSE
"DC",0.0768431983385254,1.16707616707617,0.596502590673575,0.595354523227384,4.32655246252677,2.6348195329087,0.419865935405241,27.1131380313994,0.184864240323512,0.046242774566474,0.0891203703703704,0.145664739884393,0.0705202312138728,0.063953488372093,0.0558139534883721,0.77674956622325,0.0341237709658762,6.34044943820225,3.75988372093023,5.83178654292343,2.52143684820394,-0.913903766837082,FALSE,FALSE
"DE",0.101992966002345,1.11056511056511,0.560328490208465,0.531059683313033,6.23169267707083,3.70392390011891,0.467272727272727,28.3920601964683,0.207647058823529,0.0495867768595041,0.0943952802359882,0.115361977633902,0.0629041740152851,0.0757844878626406,0.0835785756327251,0.691945914168136,0.0557511737089202,6.58064516129032,3.76221306650971,6.40070505287897,2.61493239271017,-0.119972428873624,TRUE,FALSE
"FL",0.0370192307692308,1.17810722989439,0.559155518394649,0.45877122069523,5.99406234537358,3.36917034855179,0.497881783336696,27.9571973346717,0.239312902596135,0.0648003132341425,0.138356164383562,0.116761196948954,0.0748631743549648,0.105159511618748,0.104912898806029,0.669724770642202,0.0797653958944282,8.82284206558613,4.62597809076682,7.50449394294646,2.76109481915934,0.0123767094555096,TRUE,TRUE
