"State","Margin","Gov_Male","Gov_Rep","Proportion_None","Proportion_NoGod","Per_Capita_Monuments","Per_Capita_Whole_Foods"
"Alabama",0.287482871879215,FALSE,TRUE,0.11487934218202,0.0230635843656664,1.21345614067388e-05,8.36866303913019e-07
"Alaska",0.167713094221361,TRUE,TRUE,0.297290205212672,0.112747875341323,0,0
"Arizona",0.0378004680207891,TRUE,TRUE,0.257758604202871,0.104565211184433,6.25780563474722e-07,1.5644514086868e-06
"Arkansas",0.285702753795409,TRUE,TRUE,0.178179569820317,0.0420795204626473,1.40607520513265e-05,6.85890343967149e-07
"California",-0.322564215916382,TRUE,FALSE,0.26413852792968,0.125515236405571,5.36855736877984e-08,2.41585081595093e-06
"Colorado",-0.0536666674536487,TRUE,FALSE,0.294921050900268,0.110076559500973,0,3.77793985360682e-06
"Connecticut",-0.142830950345273,TRUE,FALSE,0.210439750077294,0.119536450511607,0,2.51811856253482e-06
"Delaware",-0.119972428873624,TRUE,FALSE,0.221911973288019,0.0675793971848109,1.11366759695033e-06,0
"District of Columbia",-0.913903766837082,FALSE,FALSE,0.241283646367549,0.1459469541208,1.66189426031579e-05,8.30947130157897e-06
"Florida",0.0123767094555096,TRUE,TRUE,0.232654400454883,0.0972304499366008,1.43607014617598e-06,1.59563349575109e-06
"Georgia",0.0532234519860643,TRUE,TRUE,0.169409632809425,0.0583111018652243,1.16643319078419e-05,1.2386901141071e-06
"Hawaii",-0.348826749010709,TRUE,FALSE,0.255217716527223,0.09637739070877,0,2.94052566307016e-06
"Idaho",0.366203533616112,TRUE,TRUE,0.261480568636606,0.109172487220523,0,6.37925161171792e-07
"Illinois",-0.18040102781423,TRUE,FALSE,0.209885587013238,0.0888979662509893,0,2.1822775370691e-06
"Indiana",0.202346190490161,TRUE,TRUE,0.252614566099228,0.0939462757470128,1.54230496242791e-07,7.71152481213954e-07
"Iowa",0.101270956902407,FALSE,TRUE,0.206698191475768,0.0925914732598756,3.28261151441641e-07,3.28261151441641e-07
"Kansas",0.222229406852133,FALSE,FALSE,0.181416311126816,0.0741043188769721,0,2.10296244319373e-06
"Kentucky",0.313412580350197,TRUE,FALSE,0.208552800480238,0.0862233324937881,5.30031223448028e-06,4.60896716041764e-07
"Louisiana",0.203433544756156,TRUE,FALSE,0.131107459912859,0.0599059013210225,7.05876332231284e-06,1.54410447675593e-06
"Maine",-0.0319358225832506,FALSE,FALSE,0.3097822485813,0.152778850507365,0,7.52807407022639e-07
"Maryland",-0.280324993695388,TRUE,TRUE,0.223408495615493,0.108748428276743,1.73203601526409e-07,1.73203601526409e-06
"Massachusetts",-0.29302557379259,TRUE,TRUE,0.316555723740449,0.183211889142181,0,5.03999233921164e-06
